hash;designacion;pais1,pais2...;peso;carga;Bfrontal,Blateral,Btrasero
GER-CHS-P4A;Pz-RHA-Ausf.A;GER,JAP,SWE;15000;19000;15,15,15
GER-CHS-P4B;Pz-RHA-Ausf.B/C;GER,JAP,SWE;15300;20000;30,15,15
GER-CHS-P4D;Pz-FHA-Ausf.D;GER,JAP,SWE;15500;20500;45,20,20
GER-CHS-P4E;Pz-FHA-Ausf.E;GER,JAP,SWE;16000;21000;45,40,20
GER-CHS-P4F;Pz-FHA-Ausf.F;GER,JAP,SWE;18000;22000;55,30,20
GER-CHS-P4G;Pz-FHA-Ausf.G;GER,JAP,SWE;18500;23700;55,30,20
GER-CHS-P4H;Pz-FHA-Ausf.H/J;GER,JAP,SWE;20900;26000;80,38,20
USA-CHS-M4A;M4-RHA mod.1;USA,GBR,FRA,ITA,SWE,CHN;25700;30300;91,38,38
USA-CHS-M4C;M4-Composite;USA,GBR,FRA,ITA,SWE,CHN;25900;30700;95,38,38
USA-CHS-M4B;M4-CHA A1;USA,GBR,FRA,ITA,CHN;26100;30750;107,38,38
USA-CHS-M4D;M4-CHA A2;USA,GBR,FRA,ITA,CHN;26200;30800;110,38,38
USA-CHS-M4E;M4-CHA A3;USA,GBR,FRA,ITA,CHN;26000;30800;94,38,41
USA-CHS-M4F;M4-CHA A4;USA,GBR;25700;31000;91,38,39
USA-CHS-M4G;M4-CHA Jumbo;USA,GBR,FRA;33500;38000;158,76,82
