hash;designacion;pais1,pais2...;peso;tipoTorreta;angGiro,angElev,angDepr;Bfrontal,Blateral,Btrasero
GER-TUR-P4A;PzTur-RHA-Ausf.A;GER,JAP,SWE;1130;TORRETA;360,20,10;16,15,15
GER-TUR-P4B;PzTur-RHA-Ausf.B/C;GER,JAP,SWE;1200;TORRETA;360,20,10;30,15,15
GER-TUR-P4D;PzTur-FHA-Ausf.D/E;GER,JAP,SWE;1280;TORRETA;360,20,10;30,20,20
GER-TUR-P4F;PzTur-FHA-Ausf.F/G;GER,JAP,SWE;1400;TORRETA;360,20,6;50,30,30
GER-TUR-P4H;PzTur-FHA-Ausf.H/J;GER,JAP,SWE;1620;TORRETA;360,20,6;58,38,30
GER-SUP-SG4;PzSup-StuGIV;GER;1900;SUPERESTRUCTURA;20,20,6;80,38,30
USA-TUR-M4A;M4T mod.1;USA,GBR,FRA,ITA,SWE,CHN;1300;TORRETA;360,25,10;88,51,51
USA-TUR-M4B;M4T-Composite;USA,GBR,FRA,ITA,SWE,CHN;1350;TORRETA;360,25,10;90,51,51
USA-TUR-M4C;M4T-A4;USA,GBR,FRA,ITA,CHN;1430;TORRETA;360,20,10;101,51,51
USA-TUR-M4J;M4T-Jumbo;USA,GBR,FRA,CHN;1870;TORRETA;360,20,10;152,152,152
